ISO country numeric code,ISO country code,Country,World region,t0 Survey,t0 Year,t1 Survey,t1 Year,Region,t0 Multidimensional Poverty Index (MPI) range0to1,t1 Multidimensional Poverty Index (MPI) range0to1,Abs annualized MPI change value,Rel annualized MPI change % change,t0 Multidimensional Headcount Ratio (H),t1 Multidimensional Headcount Ratio (H),Abs annualized H change p.p,Rel annualized H change % change,t0 Intensity of Poverty (A) % of weighted deprivations,t1 Intensity of Poverty (A) % of weighted deprivations,Abs annualized A change p.p,Rel annualized A change in % change,t0 Vulnerable to poverty % pop.,t1 Vulnerable to poverty % pop.,Abs annualized Vulnerable change p.p,Rel annualized Vulnerable change % change,t0 In severe poverty % pop.,t1 In severe poverty % pop.,Abs annualized severe poverty change p.p,Rel annualized severe poverty change % change,t0 Total share of pop.,t0 Total pop. Thousands,t0 Total pop. Year,t1 Total share of pop.,t1 Total pop. Thousands,t1 Total pop. Year,t0 MPI poor people Thousands,t1 MPI poor people Thousands,t0 Vulnerable people Thousands,t1 Vulnerable people Thousands,t0 MPI severe poverty Thousands,t1 MPI severe poverty Thousands,t0 Censored headcount ratio for nutrition % pop,t1 Censored headcount ratio for nutrition % pop,Abs. annualized censored headcount ratio change for nutrition p.p,Rel. annualized censored headcount ratio change for nutrition % change,t0 Censored headcount ratio for child mortality % pop,t1 Censored headcount ratio for child mortality % pop,Abs. annualized censored headcount ratio change for cilid mortality pp,Rel. annualized censored headcount ratio change for child mortality % change,t0 Censored headcount ratio for years of schooling % pop,t1 Censored headcount ratio for years of schooling % pop,Abs. annualized censored headcount ratio change for years of schooling pp,Rel. annualized censored headcount ratio change for years of schooling % change,t0 Censored headcount ratio for school attendance % pop,t1 Censored headcount ratio for school attendance % pop,Abs. annualized censored headcount ratio change for school attendance p.p,Rel. annualized censored headcount ratio change for school attendance % change,t0 Censored headcount ratio for cooking fuel % pop,t1 Censored headcount ratio for cooking fuel % pop,Abs. annualized censored headcount ratio change for cooking fuel p.p,Rel. annualized censored headcount ratio change for cooking fuel % change,t0 Censored headcount ratio for sanitation % pop,t1 Censored headcount ratio for sanitation % pop,Abs. annualized censored headcount ratio change for sanitation p.p,Rel. annualized censored headcount ratio change for sanitation % change,t0 Censored headcount ratio for drinking water % pop,t1 Censored headcount ratio for drinking water % pop,Abs. annualized censored headcount change for drinking water p.p,Rel. annualized censored headcount change for drinking water % change,t0 Censored headcount ratio for electricity % pop,t1 Censored headcount ratio for elecricity % pop,Abs. annualized censored headcount ratio change for electricity p.p,Rel. annualized censored headcount ratio change for electricity % change,t0 Censored headcount ratio for housing % pop,t1 Censored headcount ratio for housing % pop,Abs. annualized censored headcount ratio change for housing p.p,Rel. annualized censored headcount ratio change for housing % change,t0 Censored headcount ratio for assets % pop,t1 Censored headcount ratio for assets % pop,Abs. annualized censored headcount ratio change for assets p.p,Rel. annualized censored headcount ratio change for assets % change
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Neno,0.350,0.303,-0.01,-2.62,70.17,62.53,-1.39,-2.07,49.95,48.44,-0.27,-0.55,26.36,23.96,-0.44,-1.73,37.32,24.87,-2.26,-7.11,0.01,81,2010,0.01,180,2016,57,113,21,43,30,45,32.45,32.30,-0.03,-0.08,7.13,5.12,-0.37,-5.84,35.24,31.96,-0.60,-1.76,13.59,10.78,-0.51,-4.12,70.17,62.53,-1.39,-2.07,65.48,27.80,-6.85,-14.43,45.91,45.48,-0.08,-0.17,69.60,61.99,-1.38,-2.08,67.71,58.93,-1.60,-2.49,46.75,48.01,0.23,0.48
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Neno,0.303,0.237,-0.02,-5.93,62.53,51.65,-2.72,-4.66,48.44,45.92,-0.63,-1.33,23.96,32.44,2.12,7.88,24.87,17.10,-1.94,-8.94,0.01,180,2016,0.01,138,2020,113,71,43,45,45,24,32.30,25.35,-1.74,-5.88,5.12,4.13,-0.25,-5.25,31.96,23.36,-2.15,-7.54,10.78,7.95,-0.71,-7.31,62.53,51.65,-2.72,-4.66,27.80,31.88,1.02,3.49,45.48,27.27,-4.55,-12.01,61.99,47.27,-3.68,-6.55,58.93,45.74,-3.30,-6.14,48.01,40.78,-1.81,-4.00
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Nkhata Bay & Likoma ,0.284,0.207,-0.01,-5.53,63.58,48.24,-2.79,-4.90,44.61,43.00,-0.29,-0.67,25.97,31.63,1.03,3.65,20.84,11.61,-1.68,-10.09,0.02,238,2010,0.02,268,2016,151,129,62,85,50,31,35.15,23.71,-2.08,-6.91,7.91,3.13,-0.87,-15.52,9.46,14.56,0.93,8.15,13.87,2.79,-2.02,-25.31,63.58,48.24,-2.79,-4.90,60.05,40.80,-3.50,-6.79,34.30,33.27,-0.19,-0.55,62.35,46.72,-2.84,-5.11,50.77,39.50,-2.05,-4.46,40.32,32.33,-1.45,-3.94
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Nkhata Bay & Likoma ,0.207,0.168,-0.01,-5.09,48.24,38.91,-2.33,-5.23,43.00,43.26,0.07,0.15,31.63,31.06,-0.14,-0.45,11.61,10.11,-0.37,-3.39,0.02,268,2016,0.01,271,2020,129,106,85,84,31,27,23.71,23.57,-0.04,-0.15,3.13,2.80,-0.08,-2.74,14.56,8.59,-1.49,-12.36,2.79,6.39,0.90,23.03,48.24,38.89,-2.34,-5.25,40.80,26.39,-3.60,-10.31,33.27,17.99,-3.82,-14.25,46.72,35.43,-2.82,-6.68,39.50,29.63,-2.47,-6.94,32.33,30.66,-0.42,-1.31
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Nkhotakota,0.343,0.215,-0.02,-8.13,66.39,46.11,-3.69,-6.41,51.71,46.69,-0.91,-1.84,27.93,29.85,0.35,1.21,34.70,16.88,-3.24,-12.28,0.03,399,2010,0.02,375,2016,265,173,112,112,139,63,32.29,24.87,-1.35,-4.63,7.37,5.19,-0.40,-6.18,29.08,22.98,-1.11,-4.19,24.76,6.35,-3.35,-21.93,66.39,46.11,-3.69,-6.41,65.08,17.90,-8.58,-20.92,36.31,25.37,-1.99,-6.31,66.39,46.11,-3.69,-6.41,61.98,42.71,-3.50,-6.54,41.29,31.19,-1.84,-4.97
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Nkhotakota,0.215,0.244,0.01,3.17,46.11,52.22,1.53,3.16,46.69,46.71,0.00,0.01,29.85,26.50,-0.84,-2.93,16.88,20.52,0.91,5.01,0.02,375,2016,0.03,541,2020,173,283,112,143,63,111,24.87,24.99,0.03,0.12,5.19,5.62,0.11,2.03,22.98,24.89,0.48,2.02,6.35,10.87,1.13,14.40,46.11,52.19,1.52,3.15,17.90,33.75,3.96,17.18,25.37,23.96,-0.35,-1.42,46.11,45.76,-0.09,-0.19,42.71,44.16,0.36,0.84,31.19,40.07,2.22,6.46
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Nsanje,0.404,0.286,-0.02,-6.12,79.09,60.41,-3.40,-4.78,51.14,47.30,-0.70,-1.41,15.09,28.31,2.40,12.12,45.61,22.59,-4.19,-12.00,0.02,288,2010,0.02,284,2016,228,172,43,80,131,64,28.58,24.70,-0.71,-2.62,11.89,4.44,-1.35,-16.40,40.35,35.41,-0.90,-2.35,25.42,10.09,-2.79,-15.47,79.09,60.41,-3.40,-4.78,78.35,40.98,-6.79,-11.12,53.91,27.05,-4.88,-11.78,77.19,60.41,-3.05,-4.36,71.53,56.84,-2.67,-4.09,49.29,44.76,-0.82,-1.74
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Nsanje,0.286,0.270,0.00,-1.43,60.41,56.58,-0.96,-1.62,47.30,47.68,0.10,0.20,28.31,30.53,0.56,1.91,22.59,24.89,0.58,2.46,0.02,284,2016,0.02,333,2020,172,188,80,102,64,83,24.70,23.74,-0.24,-0.99,4.44,4.40,-0.01,-0.23,35.41,30.78,-1.16,-3.44,10.09,10.43,0.09,0.84,60.41,56.35,-1.01,-1.72,40.98,44.12,0.78,1.86,27.05,29.20,0.54,1.93,60.41,52.39,-2.00,-3.50,56.84,52.54,-1.08,-1.95,44.76,42.99,-0.44,-1.00
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Ntcheu,0.347,0.213,-0.02,-8.50,68.93,49.10,-3.61,-5.98,50.36,43.38,-1.27,-2.68,26.16,30.00,0.70,2.52,36.32,12.83,-4.27,-17.23,0.04,614,2010,0.04,637,2016,423,313,161,191,223,82,28.89,26.21,-0.49,-1.75,10.99,4.71,-1.14,-14.27,34.22,24.61,-1.75,-5.82,13.01,5.08,-1.44,-15.72,68.93,49.10,-3.61,-5.98,66.09,16.43,-9.03,-22.36,51.43,10.90,-7.37,-24.58,66.70,47.85,-3.43,-5.86,65.50,46.58,-3.44,-6.01,44.87,30.70,-2.58,-6.67
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Ntcheu,0.213,0.226,0.00,1.52,49.10,49.52,0.11,0.21,43.38,45.68,0.58,1.30,30.00,34.26,1.07,3.38,12.83,16.62,0.95,6.68,0.04,637,2016,0.03,561,2020,313,278,191,192,82,93,26.21,21.15,-1.27,-5.22,4.71,4.23,-0.12,-2.68,24.61,27.00,0.60,2.34,5.08,7.23,0.54,9.24,49.10,49.19,0.02,0.05,16.43,25.06,2.16,11.13,10.90,24.34,3.36,22.25,47.85,44.34,-0.88,-1.89,46.58,46.77,0.05,0.10,30.70,38.70,2.00,5.96
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Ntchisi,0.357,0.280,-0.01,-4.30,70.11,59.54,-1.92,-2.93,50.85,47.01,-0.70,-1.42,25.11,24.77,-0.06,-0.25,36.17,23.95,-2.22,-7.23,0.02,237,2010,0.02,310,2016,166,184,59,77,86,74,31.11,34.56,0.63,1.93,8.08,6.76,-0.24,-3.20,30.88,25.28,-1.02,-3.57,21.78,10.81,-1.99,-11.96,70.11,59.54,-1.92,-2.93,68.89,25.42,-7.90,-16.58,51.97,36.66,-2.78,-6.15,69.03,59.43,-1.74,-2.68,67.87,56.93,-1.99,-3.14,38.38,33.62,-0.86,-2.38
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Ntchisi,0.280,0.239,-0.01,-3.88,59.54,52.86,-1.67,-2.93,47.01,45.19,-0.45,-0.98,24.77,30.61,1.46,5.44,23.95,16.75,-1.80,-8.54,0.02,310,2016,0.01,283,2020,184,150,77,87,74,47,34.56,19.69,-3.72,-13.11,6.76,3.15,-0.90,-17.38,25.28,27.78,0.62,2.38,10.81,7.86,-0.74,-7.65,59.54,52.68,-1.71,-3.01,25.42,31.81,1.60,5.77,36.66,27.32,-2.34,-7.09,59.43,49.52,-2.48,-4.46,56.93,51.49,-1.36,-2.48,33.62,41.72,2.02,5.54
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Phalombe,0.388,0.301,-0.02,-4.49,75.31,64.96,-1.88,-2.65,51.54,46.41,-0.93,-1.89,21.63,23.92,0.42,1.84,36.32,24.16,-2.21,-7.15,0.02,301,2010,0.03,477,2016,227,310,65,114,109,115,36.85,26.33,-1.91,-5.93,10.28,4.54,-1.04,-13.81,46.12,38.65,-1.36,-3.16,14.40,7.74,-1.21,-10.67,75.31,64.96,-1.88,-2.65,72.52,36.20,-6.60,-11.87,46.29,44.41,-0.34,-0.75,75.11,64.68,-1.90,-2.68,70.55,62.26,-1.51,-2.25,35.92,38.38,0.45,1.21
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Phalombe,0.301,0.243,-0.01,-5.29,64.96,53.14,-2.95,-4.89,46.41,45.65,-0.19,-0.42,23.92,31.70,1.95,7.30,24.16,16.40,-1.94,-9.23,0.03,477,2016,0.03,556,2020,310,295,114,176,115,91,26.33,23.31,-0.76,-3.01,4.54,5.06,0.13,2.78,38.65,31.67,-1.74,-4.85,7.74,3.82,-0.98,-16.19,64.96,53.07,-2.97,-4.93,36.20,36.22,0.00,0.01,44.41,19.61,-6.20,-18.48,64.68,50.58,-3.53,-5.96,62.26,51.68,-2.64,-4.55,38.38,33.88,-1.12,-3.06
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Rumphi,0.213,0.165,-0.01,-4.59,47.81,40.03,-1.42,-3.18,44.63,41.18,-0.63,-1.45,39.59,31.96,-1.39,-3.82,15.80,5.05,-1.96,-18.74,0.01,162,2010,0.01,218,2016,77,87,64,70,26,11,23.53,20.95,-0.47,-2.09,8.21,5.45,-0.50,-7.19,8.03,6.82,-0.22,-2.94,11.39,2.88,-1.55,-22.14,47.81,40.03,-1.42,-3.18,46.40,18.65,-5.05,-15.27,24.48,28.42,0.72,2.75,46.64,39.91,-1.22,-2.79,41.35,35.67,-1.03,-2.65,23.93,25.72,0.32,1.32
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Rumphi,0.165,0.105,-0.01,-10.57,40.03,24.63,-3.85,-11.43,41.18,42.81,0.41,0.98,31.96,40.82,2.22,6.31,5.05,6.20,0.29,5.30,0.01,218,2016,0.01,168,2020,87,41,70,68,11,10,20.95,14.72,-1.56,-8.45,5.45,0.81,-1.16,-37.86,6.82,7.01,0.05,0.70,2.88,3.54,0.17,5.31,40.03,24.61,-3.85,-11.45,18.65,11.58,-1.77,-11.23,28.42,14.53,-3.47,-15.44,39.91,22.39,-4.38,-13.46,35.67,20.27,-3.85,-13.17,25.72,18.17,-1.89,-8.32
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Salima,0.324,0.320,0.00,-0.20,63.79,67.21,0.62,0.95,50.73,47.63,-0.56,-1.14,29.17,22.13,-1.28,-4.90,31.60,26.18,-0.99,-3.37,0.03,418,2010,0.03,559,2016,267,375,122,124,132,146,24.55,26.31,0.32,1.26,8.64,2.93,-1.04,-17.86,37.39,48.08,1.94,4.68,18.79,15.93,-0.52,-2.95,63.79,67.21,0.62,0.95,59.08,19.47,-7.20,-18.28,27.48,31.61,0.75,2.58,63.79,67.01,0.59,0.90,60.61,65.35,0.86,1.38,39.61,45.84,1.13,2.69
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Salima,0.320,0.261,-0.01,-4.95,67.21,56.46,-2.69,-4.27,47.63,46.28,-0.34,-0.71,22.13,24.70,0.64,2.78,26.18,19.62,-1.64,-6.95,0.03,559,2016,0.03,660,2020,375,373,124,163,146,129,26.31,22.20,-1.03,-4.16,2.93,4.38,0.36,10.62,48.08,33.12,-3.74,-8.90,15.93,9.89,-1.51,-11.24,67.21,56.43,-2.70,-4.28,19.47,36.86,4.35,17.30,31.61,19.63,-3.00,-11.23,67.01,53.98,-3.26,-5.26,65.35,53.05,-3.08,-5.08,45.84,41.64,-1.05,-2.37
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Thyolo,0.323,0.246,-0.01,-4.84,68.67,55.05,-2.48,-3.94,47.05,44.68,-0.43,-0.94,23.31,28.46,0.94,3.70,28.65,14.70,-2.54,-11.42,0.04,620,2010,0.04,783,2016,426,431,145,223,178,115,27.31,18.45,-1.61,-6.88,4.08,2.64,-0.26,-7.59,34.98,26.21,-1.59,-5.11,9.21,9.97,0.14,1.45,68.67,55.05,-2.48,-3.94,67.51,34.09,-6.08,-11.68,48.38,39.90,-1.54,-3.44,67.08,53.72,-2.43,-3.96,58.31,48.31,-1.82,-3.36,44.88,39.81,-0.92,-2.16
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Thyolo,0.246,0.270,0.01,2.35,55.05,58.53,0.87,1.54,44.68,46.12,0.36,0.80,28.46,26.90,-0.39,-1.40,14.70,22.58,1.97,11.32,0.04,783,2016,0.05,904,2020,431,529,223,243,115,204,18.45,24.76,1.58,7.63,2.64,4.22,0.39,12.38,26.21,27.00,0.20,0.74,9.97,8.70,-0.32,-3.34,55.05,58.40,0.84,1.49,34.09,44.58,2.62,6.93,39.90,37.57,-0.58,-1.50,53.72,55.15,0.36,0.66,48.31,51.58,0.82,1.65,39.81,44.54,1.18,2.85
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Zomba,0.323,0.237,-0.02,-5.49,68.28,52.57,-2.86,-4.64,47.34,45.07,-0.41,-0.89,23.10,29.66,1.19,4.65,25.24,17.09,-1.48,-6.85,0.05,780,2010,0.06,973,2016,532,512,180,289,197,166,29.96,29.88,-0.02,-0.05,6.44,1.22,-0.95,-26.13,33.65,23.82,-1.79,-6.09,11.29,4.41,-1.25,-15.72,68.28,52.57,-2.86,-4.64,62.44,40.79,-3.94,-7.45,40.81,24.53,-2.96,-8.84,67.01,51.07,-2.90,-4.82,62.84,47.16,-2.85,-5.08,36.45,32.41,-0.73,-2.11
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Zomba,0.237,0.207,-0.01,-3.29,52.57,46.34,-1.56,-3.11,45.07,44.73,-0.09,-0.19,29.66,31.00,0.33,1.11,17.09,11.79,-1.32,-8.86,0.06,973,2016,0.04,834,2020,512,386,289,258,166,98,29.88,20.74,-2.28,-8.72,1.22,3.44,0.55,29.58,23.82,22.75,-0.27,-1.15,4.41,7.14,0.68,12.82,52.57,45.95,-1.66,-3.31,40.79,29.26,-2.88,-7.97,24.53,17.84,-1.67,-7.65,51.07,44.84,-1.56,-3.20,47.16,42.20,-1.24,-2.74,32.41,30.78,-0.41,-1.28
